org_id,label,classification
1047,C10,COMMITTEE_PARLIAMENTARY_STANDING
1048,C11,COMMITTEE_PARLIAMENTARY_STANDING
1049,C12,COMMITTEE_PARLIAMENTARY_STANDING
105,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
106,CONT,COMMITTEE_PARLIAMENTARY_STANDING
107,INST,COMMITTEE_PARLIAMENTARY_STANDING
1071,AFET,COMMITTEE_PARLIAMENTARY_STANDING
1072,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
1073,CONT,COMMITTEE_PARLIAMENTARY_STANDING
1074,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
1075,ECON,COMMITTEE_PARLIAMENTARY_STANDING
1076,JURI,COMMITTEE_PARLIAMENTARY_STANDING
1077,ITRE,COMMITTEE_PARLIAMENTARY_STANDING
1078,EMPL,COMMITTEE_PARLIAMENTARY_STANDING
1079,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
108,PECH,COMMITTEE_PARLIAMENTARY_STANDING
1080,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
1081,PECH,COMMITTEE_PARLIAMENTARY_STANDING
1082,RETT,COMMITTEE_PARLIAMENTARY_STANDING
1083,CULT,COMMITTEE_PARLIAMENTARY_STANDING
1084,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
1085,AFCO,COMMITTEE_PARLIAMENTARY_STANDING
1086,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
1087,PETI,COMMITTEE_PARLIAMENTARY_STANDING
109,REGL,COMMITTEE_PARLIAMENTARY_STANDING
11,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
110,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
111,PETI,COMMITTEE_PARLIAMENTARY_STANDING
116,AFET,COMMITTEE_PARLIAMENTARY_STANDING
117,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
118,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
119,ECON,COMMITTEE_PARLIAMENTARY_STANDING
12,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
120,RECH,COMMITTEE_PARLIAMENTARY_STANDING
121,RELA,COMMITTEE_PARLIAMENTARY_STANDING
122,JURI,COMMITTEE_PARLIAMENTARY_STANDING
123,EMPL,COMMITTEE_PARLIAMENTARY_STANDING
1232,AFET,COMMITTEE_PARLIAMENTARY_STANDING
1233,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
1234,INTA,COMMITTEE_PARLIAMENTARY_STANDING
1235,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
1236,CONT,COMMITTEE_PARLIAMENTARY_STANDING
1237,ECON,COMMITTEE_PARLIAMENTARY_STANDING
1238,EMPL,COMMITTEE_PARLIAMENTARY_STANDING
1239,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
124,REGI,COMMITTEE_PARLIAMENTARY_STANDING
1240,ITRE,COMMITTEE_PARLIAMENTARY_STANDING
1241,IMCO,COMMITTEE_PARLIAMENTARY_STANDING
1242,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
1243,REGI,COMMITTEE_PARLIAMENTARY_STANDING
1244,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
1245,PECH,COMMITTEE_PARLIAMENTARY_STANDING
1246,CULT,COMMITTEE_PARLIAMENTARY_STANDING
1247,JURI,COMMITTEE_PARLIAMENTARY_STANDING
1248,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
1249,AFCO,COMMITTEE_PARLIAMENTARY_STANDING
125,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
1250,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
1251,PETI,COMMITTEE_PARLIAMENTARY_STANDING
126,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
127,CULT,COMMITTEE_PARLIAMENTARY_STANDING
128,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
129,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
13,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
130,CONT,COMMITTEE_PARLIAMENTARY_STANDING
131,INST,COMMITTEE_PARLIAMENTARY_STANDING
132,PECH,COMMITTEE_PARLIAMENTARY_STANDING
133,REGL,COMMITTEE_PARLIAMENTARY_STANDING
134,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
135,PETI,COMMITTEE_PARLIAMENTARY_STANDING
14,CONT,COMMITTEE_PARLIAMENTARY_STANDING
15,INST,COMMITTEE_PARLIAMENTARY_STANDING
16,REGL,COMMITTEE_PARLIAMENTARY_STANDING
17,PETI,COMMITTEE_PARLIAMENTARY_STANDING
18,FEMM,COMMITTEE_PARLIAMENTARY_STANDING
19,POLI,COMMITTEE_PARLIAMENTARY_STANDING
2,ASOC,COMMITTEE_PARLIAMENTARY_STANDING
20,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
21,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
22,ECON,COMMITTEE_PARLIAMENTARY_STANDING
23,ENER,COMMITTEE_PARLIAMENTARY_STANDING
2346,AFET,COMMITTEE_PARLIAMENTARY_STANDING
2347,DEVE,COMMITTEE_PARLIAMENTARY_STANDING
2348,INTA,COMMITTEE_PARLIAMENTARY_STANDING
2349,BUDG,COMMITTEE_PARLIAMENTARY_STANDING
2350,CONT,COMMITTEE_PARLIAMENTARY_STANDING
2351,ECON,COMMITTEE_PARLIAMENTARY_STANDING
2352,EMPL,COMMITTEE_PARLIAMENTARY_STANDING
2353,ENVI,COMMITTEE_PARLIAMENTARY_STANDING
2354,ITRE,COMMITTEE_PARLIAMENTARY_STANDING
2355,IMCO,COMMITTEE_PARLIAMENTARY_STANDING
2356,TRAN,COMMITTEE_PARLIAMENTARY_STANDING
2357,REGI,COMMITTEE_PARLIAMENTARY_STANDING
2358,AGRI,COMMITTEE_PARLIAMENTARY_STANDING
2359,PECH,COMMITTEE_PARLIAMENTARY_STANDING
2360,CULT,COMMITTEE_PARLIAMENTARY_STANDING
2361,JURI,COMMITTEE_PARLIAMENTARY_STANDING
2362,LIBE,COMMITTEE_PARLIAMENTARY_STANDING
2364,AFCO,COMMITTEE_PARLIAMENTARY_STANDING
